customer_id,country,segment,signup_date,contract_type,monthly_fee,transaction_count,total_spend,avg_transaction_amount,failed_transactions,refunded_transactions,q2_transactions,q2_failed_transactions,failure_rate,refund_rate,q2_failure_rate,total_tickets,billing_tickets,cancellation_tickets,high_priority_tickets,q2_tickets,q2_billing_tickets,q2_billing_ticket_rate,billing_ticket_rate,cancellation_ticket_rate,churn_probability,status
CUST_000001,Italy,SMB,2021-06-12,Annual,86.15,21,1803.97,85.90333333333334,1,0,4,0,0.047619047619047616,0.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.17642857142857143,Active
CUST_000002,Germany,SMB,2022-09-26,Two-Year,89.86,25,2184.2,87.368,1,0,5,0,0.04,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.127,Active
CUST_000003,Italy,Consumer,2024-08-04,Monthly,166.55,14,1894.1,135.29285714285714,1,0,3,1,0.07142857142857142,0.0,0.3333333333333333,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40214285714285714,Active
CUST_000004,France,Consumer,2023-02-08,Monthly,387.96,21,2150.3,102.3952380952381,1,1,6,0,0.047619047619047616,0.047619047619047616,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.3333333333333333,0.25,0.0,0.2848809523809524,Active
CUST_000005,Spain,Consumer,2021-11-04,Annual,218.35,23,1902.88,82.73391304347827,3,2,8,1,0.13043478260869565,0.08695652173913043,0.125,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.33543478260869564,Churned
CUST_000006,Netherlands,Consumer,2025-12-04,Monthly,432.59,18,1308.3600000000001,72.68666666666667,0,0,6,0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.2033333333333333,Active
CUST_000007,Italy,Consumer,2021-12-28,Annual,475.59,21,1949.96,92.8552380952381,1,0,4,0,0.047619047619047616,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.1280952380952381,Active
CUST_000008,Italy,Enterprise,2021-06-03,Annual,56.2,13,1057.82,81.37076923076923,0,0,4,0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,Active
CUST_000009,Spain,Consumer,2022-11-28,Annual,361.19,9,783.88,87.09777777777778,0,0,2,0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.065,Active
CUST_000010,Germany,Consumer,2021-07-23,Monthly,60.93,24,1746.61,72.77541666666666,2,0,5,1,0.08333333333333333,0.0,0.2,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.33166666666666667,Active
CUST_000011,Germany,SMB,2023-12-18,Monthly,54.43,15,1670.39,111.35933333333334,0,2,3,0,0.0,0.13333333333333333,0.0,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.4,0.355,Active
CUST_000012,Netherlands,Consumer,2023-03-06,Two-Year,152.37,17,1318.2,77.54117647058824,0,0,2,0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,Active
CUST_000013,France,Consumer,2025-08-19,Monthly,68.77,15,1302.97,86.86466666666666,0,0,2,0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.2,0.0,0.19,Active
CUST_000014,Italy,Consumer,2021-11-06,Annual,338.23,32,2736.21,85.5065625,2,0,8,1,0.0625,0.0,0.125,11.0,1.0,1.0,4.0,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.28045454545454546,Active
CUST_000015,Germany,Enterprise,2022-05-06,Monthly,363.74,19,2183.08,114.89894736842105,1,0,7,1,0.05263157894736842,0.0,0.14285714285714285,8.0,1.0,2.0,4.0,1.0,1.0,1.0,0.125,0.25,0.5740695488721805,Churned
CUST_000016,Spain,Consumer,2024-06-04,Monthly,326.85,17,1804.32,106.13647058823528,1,0,2,0,0.058823529411764705,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.23705882352941177,Churned
CUST_000017,France,SMB,2024-06-28,Monthly,296.17,19,1078.72,56.77473684210526,0,0,3,0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14500000000000002,Active
CUST_000018,Spain,SMB,2022-10-21,Monthly,394.99,13,1009.81,77.6776923076923,0,1,3,0,0.0,0.07692307692307693,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15307692307692308,Churned
CUST_000019,Italy,Consumer,2025-08-11,Annual,390.84,18,1584.51,88.02833333333334,2,1,10,2,0.1111111111111111,0.05555555555555555,0.2,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.27555555555555555,Active
CUST_000020,France,SMB,2025-03-26,Annual,437.72,19,1565.6100000000001,82.40052631578948,1,0,7,1,0.05263157894736842,0.0,0.14285714285714285,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0.24531954887218044,Active
CUST_000021,Italy,Consumer,2024-01-23,Two-Year,352.73,18,1489.98,82.77666666666667,0,0,6,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.065,Active
CUST_000022,Germany,Consumer,2024-09-28,Two-Year,190.82,14,846.77,60.48357142857143,0,0,6,0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.065,Active
CUST_000023,Netherlands,Consumer,2023-09-06,Monthly,271.85,17,1947.55,114.56176470588235,0,0,4,0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14500000000000002,Active
CUST_000024,Italy,Enterprise,2023-05-10,Monthly,255.49,25,1789.67,71.5868,1,1,5,1,0.04,0.04,0.2,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.2,0.0,0.38400000000000006,Active
CUST_000025,Italy,Consumer,2023-09-24,Two-Year,71.78,25,2392.1,95.684,1,1,5,0,0.04,0.04,0.0,9.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.2222222222222222,0.23177777777777775,Active
CUST_000026,Spain,Consumer,2025-03-23,Monthly,409.64,12,928.53,77.3775,1,0,3,1,0.08333333333333333,0.0,0.3333333333333333,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.4616666666666666,Churned
CUST_000027,Germany,Enterprise,2021-01-30,Monthly,458.17,11,1085.31,98.66454545454545,1,0,1,0,0.09090909090909091,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20272727272727276,Active
CUST_000028,Spain,Consumer,2021-07-04,Monthly,492.52,21,1609.01,76.61952380952381,2,0,4,1,0.09523809523809523,0.0,0.25,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0.4236904761904762,Churned
CUST_000029,Spain,Enterprise,2023-05-17,Annual,139.02,22,2073.99,94.27227272727272,1,0,7,0,0.045454545454545456,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.14136363636363636,Active
CUST_000030,France,SMB,2023-11-28,Monthly,65.91,15,1222.51,81.50066666666666,2,0,5,0,0.13333333333333333,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.25,0.0,0.2891666666666667,Active
CUST_000031,France,Consumer,2021-11-24,Monthly,73.3,21,1865.48,88.83238095238096,0,0,8,0,0.0,0.0,0.0,9.0,5.0,1.0,1.0,2.0,1.0,0.5,0.5555555555555556,0.1111111111111111,0.3422222222222222,Active
CUST_000032,Netherlands,SMB,2024-01-10,Annual,406.06,22,2015.71,91.62318181818182,0,0,2,0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.25,0.125,0.14625,Active
CUST_000033,Germany,SMB,2021-02-14,Annual,323.24,15,1378.01,91.86733333333333,1,1,2,0,0.06666666666666667,0.06666666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12333333333333334,Active
CUST_000034,Germany,Consumer,2022-03-26,Monthly,382.94,21,1657.61,78.93380952380951,0,0,6,0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,0.5,0.25,0.0,0.27249999999999996,Active
CUST_000035,Germany,Enterprise,2023-04-20,Annual,454.49,15,1082.56,72.17066666666666,1,0,6,1,0.06666666666666667,0.0,0.16666666666666666,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.3058333333333333,Active
CUST_000036,Spain,Enterprise,2021-04-01,Monthly,128.61,21,1980.06,94.28857142857143,0,1,4,0,0.0,0.047619047619047616,0.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.24761904761904763,Churned
CUST_000037,Spain,Enterprise,2024-03-03,Monthly,194.76,23,1780.1,77.39565217391304,1,0,3,0,0.043478260869565216,0.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.14285714285714285,0.22978260869565215,Churned
CUST_000038,Germany,SMB,2023-09-05,Monthly,400.34,31,3686.55,118.92096774193548,0,0,7,0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.19642857142857145,Active
CUST_000039,Spain,Consumer,2023-10-30,Monthly,144.51,20,1718.76,85.938,1,1,9,0,0.05,0.05,0.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.38,Churned
CUST_000040,France,Consumer,2023-07-27,Monthly,262.9,29,2705.3,93.28620689655173,1,0,6,1,0.034482758620689655,0.0,0.16666666666666666,9.0,5.0,1.0,5.0,3.0,1.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.5048084291187739,Active
CUST_000041,Germany,Consumer,2024-06-16,Two-Year,232.86,24,1817.6200000000001,75.73416666666667,1,1,8,1,0.041666666666666664,0.041666666666666664,0.125,7.0,2.0,2.0,5.0,2.0,1.0,0.5,0.2857142857142857,0.2857142857142857,0.46369047619047615,Churned
CUST_000042,Italy,Consumer,2024-04-08,Monthly,305.75,21,1882.68,89.65142857142857,2,0,3,0,0.09523809523809523,0.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,0.5,0.2,0.2,0.3961904761904762,Active
CUST_000043,France,SMB,2024-04-20,Two-Year,494.34,31,2732.06,88.13096774193548,2,0,6,0,0.06451612903225806,0.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,0.5,0.6,0.0,0.26661290322580644,Active
CUST_000044,Germany,SMB,2022-01-24,Monthly,69.78,28,2633.6,94.05714285714285,2,1,4,1,0.07142857142857142,0.03571428571428571,0.25,9.0,1.0,0.0,2.0,2.0,1.0,0.5,0.1111111111111111,0.0,0.46952380952380957,Churned
CUST_000045,Italy,Consumer,2024-06-08,Monthly,252.63,23,1750.26,76.09826086956522,1,2,4,0,0.043478260869565216,0.08695652173913043,0.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.29872670807453416,Active
CUST_000046,Italy,Consumer,2021-11-25,Annual,480.31,24,2255.67,93.98625,0,0,3,0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.11,Active
CUST_000047,Germany,SMB,2021-02-09,Annual,186.98,11,1092.02,99.27454545454545,0,0,2,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,Active
CUST_000048,Spain,Consumer,2025-11-21,Monthly,375.49,17,1240.9099999999999,72.99470588235293,1,0,4,1,0.058823529411764705,0.0,0.25,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.25,0.0,0.4095588235294117,Churned
CUST_000049,France,Enterprise,2021-11-23,Monthly,466.05,21,2167.1,103.1952380952381,0,0,5,0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.2033333333333333,Active
CUST_000050,Spain,SMB,2021-07-27,Annual,135.49,21,1605.88,76.47047619047619,1,0,6,0,0.047619047619047616,0.0,0.0,9.0,2.0,0.0,5.0,4.0,1.0,0.25,0.2222222222222222,0.0,0.23392857142857143,Churned
CUST_000051,Spain,Consumer,2022-07-08,Monthly,59.06,21,1887.03,89.85857142857142,2,1,5,0,0.09523809523809523,0.047619047619047616,0.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.2,0.0,0.2954761904761905,Churned
CUST_000052,Spain,Consumer,2025-12-30,Annual,56.33,21,1998.15,95.15,2,1,7,0,0.09523809523809523,0.047619047619047616,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.20547619047619048,Churned
CUST_000053,Italy,SMB,2025-04-28,Annual,55.04,30,2162.15,72.07166666666667,2,1,9,0,0.06666666666666667,0.03333333333333333,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.18666666666666665,Active
CUST_000054,France,Consumer,2024-08-07,Monthly,188.25,17,1910.03,112.35470588235295,1,0,6,0,0.058823529411764705,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.2520588235294118,Active
CUST_000055,France,SMB,2021-12-10,Annual,80.58,15,700.0500000000001,46.67,1,0,3,0,0.06666666666666667,0.0,0.0,8.0,1.0,2.0,1.0,4.0,0.0,0.0,0.125,0.25,0.22458333333333336,Active
CUST_000056,Italy,Consumer,2024-02-24,Monthly,214.41,22,1872.51,85.1140909090909,1,0,5,0,0.045454545454545456,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25,0.28386363636363643,Active
CUST_000057,Germany,Consumer,2025-03-01,Two-Year,381.98,20,1186.97,59.3485,0,0,3,0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.115,Active
CUST_000058,France,Consumer,2022-09-13,Two-Year,163.15,23,2063.1,89.7,2,0,6,0,0.08695652173913043,0.0,0.0,10.0,1.0,3.0,4.0,4.0,0.0,0.0,0.1,0.3,0.2995652173913043,Active
CUST_000059,Spain,SMB,2022-04-19,Annual,250.12,22,1504.08,68.36727272727272,0,0,4,0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,4.0,1.0,0.25,0.18181818181818182,0.18181818181818182,0.2084090909090909,Churned
CUST_000060,Spain,Enterprise,2025-05-04,Two-Year,81.14,15,1338.18,89.212,0,0,5,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,Active
CUST_000061,France,Enterprise,2021-08-29,Annual,355.18,26,2715.24,104.43230769230769,2,0,8,0,0.07692307692307693,0.0,0.0,7.0,1.0,1.0,1.0,4.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.19796703296703294,Active
CUST_000062,Germany,Consumer,2025-07-20,Monthly,172.48,27,2366.06,87.63185185185185,1,1,7,0,0.037037037037037035,0.037037037037037035,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.3024074074074074,Active
CUST_000063,France,SMB,2023-05-25,Monthly,84.91,15,1221.89,81.45933333333333,1,0,5,0,0.06666666666666667,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.22083333333333335,Active
CUST_000064,Italy,Consumer,2024-08-11,Monthly,478.24,21,1434.31,68.30047619047619,0,1,4,0,0.0,0.047619047619047616,0.0,11.0,3.0,1.0,3.0,4.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.262012987012987,Active
CUST_000065,France,Consumer,2022-11-11,Monthly,389.42,16,1619.33,101.208125,1,0,4,1,0.0625,0.0,0.25,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5116666666666666,Active
CUST_000066,France,Enterprise,2024-07-20,Annual,333.12,20,1904.77,95.2385,1,0,5,0,0.05,0.0,0.0,7.0,3.0,0.0,3.0,1.0,1.0,1.0,0.42857142857142855,0.0,0.34928571428571425,Active
CUST_000067,France,Consumer,2025-08-16,Monthly,367.04,21,1862.54,88.69238095238094,0,0,6,0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0.1975,Active
CUST_000068,Germany,Enterprise,2023-06-20,Annual,224.24,34,2914.71,85.72676470588236,5,2,9,4,0.14705882352941177,0.058823529411764705,0.4444444444444444,7.0,1.0,0.0,2.0,2.0,1.0,0.5,0.14285714285714285,0.0,0.5783893557422969,Churned
CUST_000069,Spain,Consumer,2022-01-23,Monthly,163.2,21,1963.5800000000002,93.50380952380954,2,0,7,1,0.09523809523809523,0.0,0.14285714285714285,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3069047619047619,Churned
CUST_000070,Germany,Consumer,2021-05-23,Monthly,259.99,26,1958.24,75.31692307692308,1,0,8,0,0.038461538461538464,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.23076923076923078,Active
CUST_000071,Spain,Consumer,2025-08-18,Monthly,416.12,21,1795.29,85.49,0,2,5,0,0.0,0.09523809523809523,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18857142857142858,Active
CUST_000072,Germany,Enterprise,2025-12-30,Two-Year,482.62,16,2167.0,135.4375,5,1,6,4,0.3125,0.0625,0.6666666666666666,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.89375,Churned
CUST_000073,Italy,Consumer,2024-04-03,Monthly,310.54,8,393.15,49.14375,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,Active
CUST_000074,Spain,SMB,2021-01-29,Monthly,200.65,28,2361.18,84.32785714285714,2,1,11,1,0.07142857142857142,0.03571428571428571,0.09090909090909091,8.0,2.0,1.0,2.0,1.0,0.0,0.0,0.25,0.125,0.36365259740259737,Churned
CUST_000075,Spain,Consumer,2025-06-04,Monthly,364.74,25,2007.62,80.3048,1,0,7,1,0.04,0.0,0.14285714285714285,9.0,2.0,1.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.3349365079365079,Churned
CUST_000076,Spain,SMB,2023-06-24,Two-Year,354.59,26,2338.84,89.95538461538462,0,2,7,0,0.0,0.07692307692307693,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.18974358974358974,Active
CUST_000077,Spain,Consumer,2022-03-03,Monthly,138.78,13,1158.83,89.14076923076922,0,0,3,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.305,Churned
CUST_000078,France,Consumer,2022-11-02,Annual,229.05,17,1227.14,72.18470588235294,3,0,5,2,0.17647058823529413,0.0,0.4,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.16666666666666666,0.0,0.47117647058823536,Active
CUST_000079,France,SMB,2025-09-16,Monthly,84.33,19,1476.08,77.68842105263157,0,0,5,0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,0.2,0.0,0.33999999999999997,Active
