customer_id,country,segment,signup_date,contract_type,monthly_fee,status
CUST_000001,Italy,SMB,2021-06-12,Annual,86.15,Active
CUST_000002,Germany,SMB,2022-09-26,Two-Year,89.86,Active
CUST_000003,Italy,Consumer,2024-08-04,Monthly,166.55,Active
CUST_000004,France,Consumer,2023-02-08,Monthly,387.96,Active
CUST_000005,Spain,Consumer,2021-11-04,Annual,218.35,Active
CUST_000006,Netherlands,Consumer,2025-12-04,Monthly,432.59,Active
CUST_000007,Italy,Consumer,2021-12-28,Annual,475.59,Active
CUST_000008,Italy,Enterprise,2021-06-03,Annual,56.2,Active
CUST_000009,Spain,Consumer,2022-11-28,Annual,361.19,Active
CUST_000010,Germany,Consumer,2021-07-23,Monthly,60.93,Active
CUST_000011,Germany,SMB,2023-12-18,Monthly,54.43,Active
CUST_000012,Netherlands,Consumer,2023-03-06,Two-Year,152.37,Churned
CUST_000013,France,Consumer,2025-08-19,Monthly,68.77,Active
CUST_000014,Italy,Consumer,2021-11-06,Annual,338.23,Churned
CUST_000015,Germany,Enterprise,2022-05-06,Monthly,363.74,Active
CUST_000016,Spain,Consumer,2024-06-04,Monthly,326.85,Churned
CUST_000017,France,SMB,2024-06-28,Monthly,296.17,Active
CUST_000018,Spain,SMB,2022-10-21,Monthly,394.99,Churned
CUST_000019,Italy,Consumer,2025-08-11,Annual,390.84,Active
CUST_000020,France,SMB,2025-03-26,Annual,437.72,Active
CUST_000021,Italy,Consumer,2024-01-23,Two-Year,352.73,Churned
CUST_000022,Germany,Consumer,2024-09-28,Two-Year,190.82,Churned
CUST_000023,Netherlands,Consumer,2023-09-06,Monthly,271.85,Active
CUST_000024,Italy,Enterprise,2023-05-10,Monthly,255.49,Active
CUST_000025,Italy,Consumer,2023-09-24,Two-Year,71.78,Churned
CUST_000026,Spain,Consumer,2025-03-23,Monthly,409.64,Active
CUST_000027,Germany,Enterprise,2021-01-30,Monthly,458.17,Active
CUST_000028,Spain,Consumer,2021-07-04,Monthly,492.52,Active
