transaction_id,customer_id,transaction_date,product,channel,amount,payment_status
TXN_00000001,CUST_000893,2025-12-30,Broadband,Direct Debit,84.2,Successful
TXN_00000002,CUST_007740,2025-12-09,Broadband,Bank Transfer,291.09,Successful
TXN_00000003,CUST_006546,2025-12-18,Security,Direct Debit,16.31,Successful
TXN_00000004,CUST_004389,2025-12-12,Broadband,Direct Debit,37.35,Refunded
TXN_00000005,CUST_004331,2025-11-19,Cloud,Direct Debit,104.13,Successful
TXN_00000006,CUST_008586,2025-07-15,Broadband,Direct Debit,35.53,Successful
TXN_00000007,CUST_000860,2025-09-15,Mobile,Direct Debit,79.72,Successful
TXN_00000008,CUST_006974,2025-04-02,Cloud,Direct Debit,148.45,Successful
TXN_00000009,CUST_002015,2025-09-13,Broadband,Bank Transfer,86.88,Successful
TXN_00000010,CUST_000942,2025-09-27,Broadband,Online,291.32,Successful
TXN_00000011,CUST_005265,2025-06-06,Cloud,Direct Debit,25.38,Successful
TXN_00000012,CUST_009757,2025-08-30,Mobile,Direct Debit,29.37,Successful
TXN_00000013,CUST_007358,2025-06-03,Broadband,Direct Debit,38.91,Successful
TXN_00000014,CUST_007612,2025-11-16,Security,Direct Debit,129.93,Successful
TXN_00000015,CUST_007175,2025-03-13,Broadband,Direct Debit,50.81,Successful
TXN_00000016,CUST_007861,2025-11-08,Broadband,Online,64.39,Successful
TXN_00000017,CUST_005133,2025-10-08,Security,Online,57.11,Successful
TXN_00000018,CUST_001282,2025-04-12,Broadband,Direct Debit,43.42,Successful
TXN_00000019,CUST_008398,2025-03-01,Mobile,Bank Transfer,140.9,Successful
TXN_00000020,CUST_004504,2025-08-02,Mobile,Partner,182.59,Successful
TXN_00000021,CUST_005004,2025-12-08,Mobile,Direct Debit,26.44,Successful
TXN_00000022,CUST_003708,2025-06-10,Mobile,Partner,67.81,Successful
TXN_00000023,CUST_001826,2025-04-07,Broadband,Bank Transfer,31.29,Successful
TXN_00000024,CUST_009268,2025-12-06,Mobile,Direct Debit,87.65,Successful
TXN_00000025,CUST_007816,2025-08-19,Cloud,Direct Debit,143.7,Successful
TXN_00000026,CUST_006439,2025-05-30,Mobile,Online,71.66,Successful
TXN_00000027,CUST_004025,2025-06-03,Cloud,Direct Debit,30.99,Successful
TXN_00000028,CUST_008228,2025-01-24,Mobile,Online,42.8,Successful
TXN_00000029,CUST_005455,2025-11-01,IoT,Bank Transfer,40.55,Successful
TXN_00000030,CUST_004435,2025-06-28,Broadband,Online,50.9,Successful
TXN_00000031,CUST_004505,2025-10-21,Broadband,Online,102.84,Successful
TXN_00000032,CUST_002273,2025-03-26,Broadband,Partner,104.9,Refunded
TXN_00000033,CUST_000922,2025-01-30,Broadband,Online,82.32,Successful
TXN_00000034,CUST_005546,2025-01-04,Cloud,Bank Transfer,81.08,Successful
TXN_00000035,CUST_008879,2025-08-13,Mobile,Direct Debit,25.34,Successful
TXN_00000036,CUST_000639,2025-11-29,Cloud,Online,36.8,Refunded
TXN_00000037,CUST_008583,2025-09-24,Mobile,Direct Debit,38.78,Successful
TXN_00000038,CUST_008277,2025-09-03,Cloud,Bank Transfer,234.82,Successful
TXN_00000039,CUST_002768,2025-07-07,Mobile,Online,138.45,Successful
TXN_00000040,CUST_006317,2025-02-12,Broadband,Partner,14.39,Successful
TXN_00000041,CUST_001653,2025-07-24,Mobile,Online,136.73,Successful
TXN_00000042,CUST_007581,2025-05-19,Cloud,Direct Debit,97.39,Failed
TXN_00000043,CUST_007006,2025-02-09,Mobile,Online,70.4,Successful
TXN_00000044,CUST_003546,2025-04-12,Broadband,Bank Transfer,65.71,Successful
TXN_00000045,CUST_000680,2025-09-10,IoT,Direct Debit,151.68,Successful
TXN_00000046,CUST_009707,2025-10-25,Broadband,Partner,190.64,Successful
TXN_00000047,CUST_004457,2025-04-23,Mobile,Online,25.74,Successful
TXN_00000048,CUST_008932,2025-09-12,Security,Bank Transfer,197.19,Successful
TXN_00000049,CUST_006780,2025-12-30,Cloud,Direct Debit,41.94,Successful
TXN_00000050,CUST_007784,2025-02-10,Mobile,Direct Debit,85.03,Successful
TXN_00000051,CUST_007599,2025-05-18,Mobile,Online,43.98,Successful
TXN_00000052,CUST_001947,2025-01-03,Mobile,Direct Debit,48.81,Successful
TXN_00000053,CUST_003640,2025-03-02,Broadband,Bank Transfer,38.37,Failed
TXN_00000054,CUST_004668,2025-10-27,Mobile,Partner,17.62,Successful
TXN_00000055,CUST_004978,2025-10-26,Mobile,Online,65.22,Successful
TXN_00000056,CUST_000439,2025-12-07,Broadband,Direct Debit,14.29,Successful
TXN_00000057,CUST_005466,2025-08-17,Mobile,Direct Debit,82.34,Successful
TXN_00000058,CUST_001543,2025-12-18,Cloud,Bank Transfer,86.45,Successful
TXN_00000059,CUST_007434,2025-09-25,Broadband,Partner,43.1,Successful
TXN_00000060,CUST_006831,2025-02-13,Broadband,Direct Debit,66.75,Failed
TXN_00000061,CUST_009226,2025-06-20,Mobile,Bank Transfer,16.68,Successful
TXN_00000062,CUST_007448,2025-05-23,Mobile,Online,88.56,Successful
TXN_00000063,CUST_003667,2025-02-04,Mobile,Bank Transfer,129.77,Successful
TXN_00000064,CUST_009676,2025-02-14,Mobile,Bank Transfer,49.16,Successful
TXN_00000065,CUST_004109,2025-12-14,Mobile,Direct Debit,43.84,Successful
TXN_00000066,CUST_003259,2025-12-08,Broadband,Online,64.28,Successful
TXN_00000067,CUST_009056,2025-12-23,IoT,Online,66.03,Successful
TXN_00000068,CUST_003705,2025-06-15,Security,Direct Debit,33.81,Successful
TXN_00000069,CUST_000764,2025-05-16,IoT,Direct Debit,44.64,Successful
TXN_00000070,CUST_004696,2025-11-29,Mobile,Direct Debit,31.57,Successful
TXN_00000071,CUST_007957,2025-03-10,Broadband,Online,79.91,Successful
TXN_00000072,CUST_001895,2025-06-15,Cloud,Bank Transfer,50.74,Successful
TXN_00000073,CUST_004630,2025-10-03,Mobile,Online,104.71,Failed
TXN_00000074,CUST_001300,2025-02-03,Mobile,Direct Debit,102.97,Successful
TXN_00000075,CUST_006865,2025-04-08,Broadband,Direct Debit,83.05,Successful
TXN_00000076,CUST_004758,2025-05-11,IoT,Direct Debit,16.29,Successful
TXN_00000077,CUST_003302,2025-12-27,Cloud,Online,104.59,Successful
TXN_00000078,CUST_002270,2025-12-21,Mobile,Direct Debit,168.64,Failed
TXN_00000079,CUST_005645,2025-03-27,Mobile,Direct Debit,48.02,Successful
TXN_00000080,CUST_006699,2025-11-16,Mobile,Direct Debit,61.19,Successful
TXN_00000081,CUST_009404,2025-08-12,Cloud,Bank Transfer,95.73,Successful
TXN_00000082,CUST_004372,2025-07-07,Mobile,Online,17.49,Successful
TXN_00000083,CUST_001607,2025-03-17,Broadband,Direct Debit,370.72,Successful
TXN_00000084,CUST_008327,2025-05-01,Security,Online,62.65,Successful
TXN_00000085,CUST_006298,2025-07-20,Broadband,Direct Debit,57.91,Successful
TXN_00000086,CUST_007003,2025-03-01,Broadband,Direct Debit,22.33,Successful
TXN_00000087,CUST_000973,2025-06-21,Mobile,Online,149.41,Successful
